Финансирование	грн					грн	
					Получено авансов	245000,0	
04.02.2018	20000,0				Выполнено работ	188035,3	
18.02.2018	20000,0				Закуплено материалов	68371,4	
03.03.2018	20000,0				Транспортные расходы	7500,0	
11.03.2018	20000,0						
05.04.2018	40000,0						
25.04.2018	40000,0						
01.06.2018	10000,0						
05.06.2018	15000,0						
19.06.2018	30000,0						
07.07.2018	30000,0						
							
Всего получено	245000,0						
							
					Баланс	-18906,8	
							
Работы	Ед.изм.	Кол-во 	Цена, грн	Стоим, грн	% выполнения	Стоимость выполненных работ, грн	Примечания
Ванная							
Демонтаж перегородки	м2	8,6	160,0	1376,0	100,0	1376,0	
Изготовление перегородки из шлакоблока	м2	8,8	250,0	2200,0	100,0	2200,0	
Монтаж перемычки дверного проема	шт.	1,0	200,0	200,0	100,0	200,0	
Грунтовка стен	м2	20,5	15,0	307,5	50,0	153,8	
Грунтовка "бетон-контакт"	м2	5,7	30,0	171,0	100,0	171,0	
Штукатурка стен	м2	16,7	140,0	2338,0	100,0	2338,0	
Штукатурка откосов	м.пог	7,7	140,0	1078,0	100,0	1078,0	
Изготовление штробы сантехнической	м.пог	1,2	200,0	240,0	100,0	240,0	
Сантехнические работы	точ.	4,0	900,0	3600,0	70,0	2520,0	
Установка инсталяции унитаза	шт.	1,0	400,0	400,0	100,0	400,0	
Изготовление г/к конструкций	точ	1,0	3500,0	3500,0	100,0	3500,0	
Укладка шестигранной плитки на стены	м2	3,2	600,0	1920,0	80,0	1536,0	
Укладка плитки на стены	м2	10,2	300,0	3060,0	80,0	2448,0	
Укладка плитки на окосы	м2	21,4	300,0	6420,0	80,0	5136,0	
Укладка шестигранной плитки на пол	м2	2,4	600,0	1440,0	0,0	0,0	
Изготовление наружного угла 45 град	м.пог	9,3	200,0	1860,0	100,0	1860,0	
Грунтовка потолка 	м2	1,2	15,0	18,0	0,0	0,0	
Шпаклевка потолка с сеткой	м2	1,2	60,0	72,0	0,0	0,0	
Поклейка стеклохолста на потолок	м2	1,2	80,0	96,0	0,0	0,0	
Шпаклевка потолка под покраску	м2	1,2	80,0	96,0	0,0	0,0	
Шпаклевка откосов	м.пог	5,9	80,0	472,0	0,0	0,0	
Покраска потолка	м2	1,2	70,0	84,0	0,0	0,0	
Покраска откосов	м.пог	5,9	70,0	413,0	0,0	0,0	
Установка столешницы под умывальник	шт	1,0		0,0	0,0	0,0	требуются уточнения
Установка полотенцесушителя	шт	1,0	400,0	400,0	0,0	0,0	
Установка ванны	шт	1,0	500,0	500,0	0,0	0,0	
Изготовление штробы электр.	м.пог	6,6	70,0	462,0	100,0	462,0	
Сборка и установка дверей	шт	1,0	1100,0	1100,0	0,0	0,0	
Монтаж подрозетников, прокладка кабеля	точ	8,0	130,0	1040,0	100,0	1040,0	
Установка фурнитуры роз.и выкл.	точ	5,0	40,0	200,0	0,0	0,0	
Заливка стяжки маячной	м2	3,6	100,0	360,0	100,0	360,0	
Укладка теплого пола	м2	1,0	200,0	200,0	0,0	0,0	
Установка светильников	точ	5,0	70,0	350,0	0,0	0,0	
